date,drct,sped
2007-01-01 00:20,225,12.829798
2007-01-01 00:50,225,15.842659
2007-01-01 01:20,225,15.270610000000001
2007-01-01 01:50,225,13.332094
2007-01-01 02:20,225,12.639211
2007-01-01 02:50,225,14.73286
2007-01-01 03:20,225,14.655507
2007-01-01 03:50,225,16.436129
2007-01-01 04:20,225,14.889176
2007-01-01 04:50,225,14.691092000000001
2007-01-01 05:20,225,14.233246
2007-01-01 05:50,225,15.259232999999998
2007-01-01 06:20,225,16.75405
2007-01-01 06:50,225,16.413998
2007-01-01 07:20,225,17.46414
2007-01-01 07:50,225,20.509151
2007-01-01 08:20,225,15.276287
2007-01-01 08:50,225,15.144403
2007-01-01 09:20,225,13.81582
2007-01-01 09:50,225,12.721603
2007-01-01 10:20,225,15.995560999999999
2007-01-01 11:20,225,13.239351999999998
2007-01-01 11:50,225,14.786734
2007-01-01 12:20,225,13.109304000000002
2007-01-01 12:50,225,15.083352
2007-01-01 13:20,225,11.262236999999999
2007-01-01 13:50,225,14.325572
2007-01-01 14:20,225,17.101046
2007-01-01 14:50,225,16.632122
2007-01-01 15:20,225,12.749635000000001
2007-01-01 15:50,225,16.663416
2007-01-01 16:20,225,17.883854
2007-01-01 16:50,225,11.225456
2007-01-01 17:20,225,13.457754999999999
2007-01-01 17:50,225,12.740648
2007-01-01 18:20,225,11.951311
2007-01-01 18:50,225,13.257292000000001
2007-01-01 19:20,225,13.268644
2007-01-01 19:50,225,12.980024
2007-01-01 20:20,225,13.493443
2007-01-01 20:50,225,13.062804
2007-01-01 21:20,225,11.787473
2007-01-01 21:50,225,13.959319
2007-01-01 22:20,225,13.522663
2007-01-01 22:50,225,14.683804
2007-01-01 23:20,225,14.905687
2007-01-01 23:50,225,14.41877
2007-01-02 00:20,225,17.181442
2007-01-02 00:50,225,17.21011
2007-01-02 01:20,225,18.85347
2007-01-02 01:50,225,21.239552
2007-01-02 02:20,225,20.666496
2007-01-02 02:50,225,13.213145
2007-01-02 03:20,225,16.074667
2007-01-02 03:50,225,6.809330999999999
2007-01-02 04:20,225,10.909055
2007-01-02 04:50,225,11.125141000000001
2007-01-02 06:50,225,12.093821
2007-01-02 07:20,225,12.085322
2007-01-02 07:50,225,10.71298
2007-01-02 08:20,225,10.13214
2007-01-02 08:50,225,8.565127
2007-01-02 09:20,225,8.851027
2007-01-02 09:50,225,8.130973
2007-01-02 10:20,225,8.747617
2007-01-02 10:50,225,4.683717
2007-01-02 11:20,225,6.717510000000001
2007-01-02 11:50,225,5.437199
2007-01-02 12:20,225,5.2571205999999995
2007-01-02 12:50,225,4.1633506
2007-01-02 13:20,225,5.838602
2007-01-02 13:50,225,5.785808599999999
2007-01-02 14:20,225,4.991829
2007-01-02 14:50,225,3.445093
2007-01-02 15:20,225,4.994576
2007-01-02 15:50,225,3.8424366
2007-01-02 16:20,225,3.2136139999999997
2007-01-02 16:50,225,4.7558413
2007-01-02 17:20,225,4.844896299999999
2007-01-02 17:50,225,3.3955054
2007-01-02 18:20,225,5.9748282
2007-01-02 18:50,225,6.642744
2007-01-02 19:20,225,5.409665
2007-01-02 19:50,225,6.691128999999999
2007-01-02 20:20,225,7.780810400000001
2007-01-02 20:50,225,8.315208
2007-01-02 21:20,225,9.29081
2007-01-02 21:50,225,8.466875
2007-01-02 22:20,225,11.495951
2007-01-02 22:50,225,12.18528
2007-01-02 23:20,225,12.994584
2007-01-02 23:50,225,13.447131
2007-01-03 00:20,225,13.703470000000001
2007-01-03 00:50,225,13.099093
2007-01-03 01:20,225,13.035886
2007-01-03 01:50,225,11.166883
2007-01-03 02:20,225,12.218432
2007-01-03 02:50,225,10.3597975
2007-01-03 03:20,225,11.551703999999999
2007-01-03 03:50,225,12.35021
2007-01-03 04:20,225,13.170614000000002
2007-01-03 04:50,225,13.176576
2007-01-03 05:20,225,13.42946
2007-01-03 05:50,225,14.635076999999999
2007-01-03 06:20,225,15.149115
2007-01-03 06:50,225,16.102985
2007-01-03 07:20,225,15.321097
2007-01-03 07:50,225,15.836407999999999
2007-01-03 08:20,225,16.93937
2007-01-03 08:50,225,17.28439
2007-01-03 09:20,225,16.311075
2007-01-03 09:50,225,16.113514000000002
2007-01-03 10:20,225,16.27141
2007-01-03 10:50,225,17.547884
2007-01-03 11:20,225,18.347172
2007-01-03 11:50,225,17.41221
2007-01-03 12:20,225,15.446613000000001
2007-01-03 12:50,225,13.133776999999998
2007-01-03 13:20,225,11.621652000000001
2007-01-03 13:50,225,11.405232
2007-01-03 14:20,225,11.543642
2007-01-03 14:50,225,12.286766
2007-01-03 15:20,225,12.367272999999999
2007-01-03 15:50,225,12.860567
2007-01-03 16:20,225,11.565916
2007-01-03 16:50,225,12.986667
2007-01-03 17:20,225,12.204403
2007-01-03 17:50,225,12.81976
2007-01-03 18:20,225,15.0338745
2007-01-04 06:50,225,19.067514000000003
2007-01-04 07:20,225,19.227385
2007-01-04 07:50,225,18.61753
2007-01-04 08:20,225,15.894998999999999
2007-01-04 08:50,225,16.37116
2007-01-04 09:20,225,16.226833
2007-01-04 09:50,225,13.682277
2007-01-04 10:20,225,13.758216000000001
