x,y
51.0,51.0
51.0,1025.5
51.0,2000.0
51.0,2974.5
51.0,3949.0
484.1111111111111,51.0
484.1111111111111,1025.5
484.1111111111111,2000.0
484.1111111111111,2974.5
484.1111111111111,3949.0
917.2222222222222,51.0
917.2222222222222,1025.5
917.2222222222222,2000.0
917.2222222222222,2974.5
917.2222222222222,3949.0
1350.3333333333333,51.0
1350.3333333333333,1025.5
1350.3333333333333,2000.0
1350.3333333333333,2974.5
1350.3333333333333,3949.0
1783.4444444444443,51.0
1783.4444444444443,1025.5
1783.4444444444443,2000.0
1783.4444444444443,2974.5
1783.4444444444443,3949.0
2216.5555555555557,51.0
2216.5555555555557,1025.5
2216.5555555555557,2000.0
2216.5555555555557,2974.5
2216.5555555555557,3949.0
2649.6666666666665,51.0
2649.6666666666665,1025.5
2649.6666666666665,2000.0
2649.6666666666665,2974.5
2649.6666666666665,3949.0
3082.7777777777774,51.0
3082.7777777777774,1025.5
3082.7777777777774,2000.0
3082.7777777777774,2974.5
3082.7777777777774,3949.0
3515.8888888888887,51.0
3515.8888888888887,1025.5
3515.8888888888887,2000.0
3515.8888888888887,2974.5
3515.8888888888887,3949.0
3949.0,51.0
3949.0,1025.5
3949.0,2000.0
3949.0,2974.5
3949.0,3949.0
