x,y
51.0,51.0
51.0,484.1111111111111
51.0,917.2222222222222
51.0,1350.3333333333333
51.0,1783.4444444444443
51.0,2216.5555555555557
51.0,2649.6666666666665
51.0,3082.7777777777774
51.0,3515.8888888888887
51.0,3949.0
484.11111,51.0
917.2222212500001,51.0
1350.3333325,51.0
1783.4444437500001,51.0
2216.555555,51.0
2649.66666625,51.0
3082.7777775,51.0
3515.8888887499998,51.0
3949.0,51.0
3949.0,484.1111111111111
3949.0,917.2222222222222
3949.0,1350.3333333333333
3949.0,1783.4444444444443
3949.0,2216.5555555555557
3949.0,2649.6666666666665
3949.0,3082.7777777777774
3949.0,3515.8888888888887
484.11111,3949.0
917.2222212500001,3949.0
1350.3333325,3949.0
1783.4444437500001,3949.0
2216.555555,3949.0
2649.66666625,3949.0
3082.7777775,3949.0
3515.8888887499998,3949.0
3949.0,3949.0
1762.0612129284837,1973.2454951390293
2429.48620702403,1684.0954197477424
1146.8280735517328,2262.696008617299
2310.7622661431833,2378.1717631917872
1753.4721855372081,1198.6147051172848
2880.51278761158,2832.857657366726
2347.828885932881,1085.46194480027
2208.7838467386564,2970.86668380379
2939.048734838254,1226.0000606168746
1060.617179715995,2899.040548517693
1132.2058932293185,1663.7942283431732
2943.8670379612267,2073.801866236799
1115.8834732106652,1075.776178377569
1615.417574809384,2762.680871400519
