x,y
51.0,51.0
51.0,484.1111111111111
51.0,917.2222222222222
51.0,1350.3333333333333
51.0,1783.4444444444443
51.0,2216.5555555555557
51.0,2649.6666666666665
51.0,3082.7777777777774
51.0,3515.8888888888887
51.0,3949.0
484.11111,51.0
917.2222212500001,51.0
1350.3333325,51.0
1783.4444437500001,51.0
2216.555555,51.0
2649.66666625,51.0
3082.7777775,51.0
3515.8888887499998,51.0
3949.0,51.0
3949.0,484.1111111111111
3949.0,917.2222222222222
3949.0,1350.3333333333333
3949.0,1783.4444444444443
3949.0,2216.5555555555557
3949.0,2649.6666666666665
3949.0,3082.7777777777774
3949.0,3515.8888888888887
484.11111,3949.0
917.2222212500001,3949.0
1350.3333325,3949.0
1783.4444437500001,3949.0
2216.555555,3949.0
2649.66666625,3949.0
3082.7777775,3949.0
3515.8888887499998,3949.0
3949.0,3949.0
1633.9745962155612,3366.025403784439
1780.3847577293368,2819.615242270663
1926.7949192431122,2273.2050807568876
2073.2050807568876,1726.7949192431122
2219.615242270663,1180.3847577293368
2366.025403784439,633.9745962155613
860.7695154586736,2426.7949192431124
982.7779833868199,1971.4531179816329
1104.786451314966,1516.1113167201531
1226.7949192431124,1060.7695154586736
2773.2050807568876,2939.2304845413264
2895.213548685034,2483.8886832798466
3017.2220166131797,2028.5468820183676
3139.2304845413264,1573.2050807568878
