x,y
51.0,51.0
51.0,484.1111111111111
51.0,917.2222222222222
51.0,1350.3333333333333
51.0,1783.4444444444443
51.0,2216.5555555555557
51.0,2649.6666666666665
51.0,3082.7777777777774
51.0,3515.8888888888887
51.0,3949.0
484.11,51.0
917.22125,51.0
1350.3325,51.0
1783.44375,51.0
2216.555,51.0
2649.66625,51.0
3082.7775,51.0
3515.88875,51.0
3949.0,51.0
917.22125,484.11111
917.22125,917.2222212500001
917.22125,1350.3333325
917.22125,1783.4444437500001
917.22125,2216.555555
917.22125,2649.66666625
917.22125,3082.7777775
917.22125,3515.8888887499998
917.22125,3949.0
1783.44375,484.11111
1783.44375,917.2222212500001
1783.44375,1350.3333325
1783.44375,1783.4444437500001
1783.44375,2216.555555
1783.44375,2649.66666625
1783.44375,3082.7777775
1783.44375,3515.8888887499998
1783.44375,3949.0
2649.66625,484.11111
2649.66625,917.2222212500001
2649.66625,1350.3333325
2649.66625,1783.4444437500001
2649.66625,2216.555555
2649.66625,2649.66666625
2649.66625,3082.7777775
2649.66625,3515.8888887499998
2649.66625,3949.0
3949.0,484.11111
3949.0,1639.0740733333334
3949.0,2794.0370366666666
3949.0,3949.0
